STOP_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,Lat,Lon
30162,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,41.857908, -87.669147
30161,18th (Loop-bound),18th,18th (Pink Line),40830,41.857908, -87.669147
30022,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,41.829353, -87.680622
30023,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),40120,41.829353, -87.680622
30214,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,41.831677, -87.625826
30213,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,41.831677, -87.625826
30246,43rd (63rd-bound),43rd,43rd (Green Line),41270,41.816462, -87.619021
30245,43rd (Harlem-bound),43rd,43rd (Green Line),41270,41.816462, -87.619021
30025,51st (63rd-bound),51st,51st (Green Line),40130,41.80209, -87.618487
30024,51st (Harlem-bound),51st,51st (Green Line),40130,41.80209, -87.618487
30113,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),40580,41.85177331, -87.75669201
30114,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580,41.85177331, -87.75669201
30192,69th (95th-bound),69th,69th (Red Line),40990,41.768367, -87.625724
30191,69th (Howard-bound),69th,69th (Red Line),40990,41.768367, -87.625724
30047,79th (95th-bound),79th,79th (Red Line),40240,41.750419, -87.625112
30046,79th (Howard-bound),79th,79th (Red Line),40240,41.750419, -87.625112
30089,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,41.722377, -87.624342
30088,95th/Dan Ryan (Howard-bound),95th/Ran Ryan,95th/Ran Ryan (Red Line),40450,41.722377, -87.624342
30132,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,41.879507, -87.626037
30131,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,41.879507, -87.626037
30277,Addison (Kimball-bound),Addison,Addison (Brown Line),41440,41.947028, -87.674642
30278,Addison (Loop-bound),Addison,Addison (Brown Line),41440,41.947028, -87.674642
30274,Addison (95th-bound),Addison,Addison (Red Line),41420,41.947428, -87.653626
30273,Addison (Howard-bound),Addison,Addison (Red Line),41420,41.947428, -87.653626
30230,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,41.973453, -87.65853
30229,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,41.973453, -87.65853
30275,87th (Howard-bound),87th,87th (Red Line),41430,41.735372, -87.624717
30127,Armitage (Kimball-Linden-bound),Armitage,Armitage (Brown & Purple Lines),40660,41.918217, -87.652644
30128,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple Lines),40660,41.918217, -87.652644
30205,Ashland (Loop-bound),Ashland,Ashland (Orange Line),41060,41.839234, -87.665317
30206,Ashland (Midway-bound),Ashland,Ashland (Orange Line),41060,41.839234, -87.665317
30056,Ashland/63rd (Harlem-bound),Ashland/63rd,Ashland/63rd (Green Line),40290,41.77886, -87.663766
30057,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),40290,41.77886, -87.663766
30002,Austin (Forest Pk-bound),Austin,Austin (Blue Line),40010,41.870851, -87.776812
30001,Austin (O'Hare-bound),Austin,Austin (Blue Line),40010,41.870851, -87.776812
30243,Austin (63rd-bound),Austin,Austin (Green Line),41260,41.887293, -87.774135
30244,Austin (Harlem-bound),Austin,Austin (Green Line),41260,41.887293, -87.774135
30013,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont,Belmont (Blue Line),40060,41.938132, -87.712359
30012,Belmont (O'Hare Branch) (O'Hare-bound),Belmont,Belmont (Blue Line),40060,41.938132, -87.712359
30256,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,41.939751, -87.65338
30255,Belmont (Howard-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,41.939751, -87.65338
30257,Belmont (Kimball-Linden-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,41.939751, -87.65338
30258,Belmont (Loop-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,41.939751, -87.65338
